Sport,isindoor
Weightlifting,1
Rowing,0
Boxing,1
Volleyball,1
Judo,1
Wrestling,1
Badminton,1
Water Polo,1
Triathlon,0
Beach Volleyball,0
Archery,0
Tennis,0
Figure Skating,1
Curling,1
Luge,0
Speed Skating,1
Nordic Combined,0
Aeronautics,0
Tug-Of-War,0
Motorboating,0
Cricket,0
Gymnastics,1
Taekwondo,1
Equestrianism,1
Diving,1
Football,0
Fencing,1
Rugby Sevens,0
Trampolining,1
Modern Pentathlon,0
Golf,0
Hockey,0
Ice Hockey,1
Freestyle Skiing,0
Cross Country Skiing,0
Short Track Speed Skating,1
Skeleton,0
Softball,0
Polo,0
Rugby,0
Lacrosse,0
Jeu De Paume,1
Croquet,0
Athletics,1
Handball,1
Cycling,0
Shooting,1
Synchronized Swimming,1
Swimming,1
Table Tennis,1
Basketball,1
Sailing,0
Rhythmic Gymnastics,1
Canoeing,0
Alpine Skiing,0
Biathlon,0
Ski Jumping,0
Snowboarding,0
Bobsleigh,0
Baseball,0
Alpinism,0
Military Ski Patrol,0
Racquets,1
Roque,0
Basque Pelota,1
